"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear","ride_length","day_of_week","month","start_hour","end_hour","tripduration_mins","duration_diff","hour","weekday","route_count"
25944860,2019-12-26 17:40:41,2019-12-26 17:52:56,2172,734,42,"Wabash Ave & Cermak Rd",59,"Wabash Ave & Roosevelt Rd","Customer","unknown","NA",12.25,"Thursday","Dec","17","17",12.2333333333333,0.0166666666666675,17,"Thu",97
25944962,2019-12-26 17:53:40,2019-12-26 18:08:25,388,884,35,"Streeter Dr & Grand Ave",76,"Lake Shore Dr & Monroe St","Customer","unknown","NA",14.75,"Thursday","Dec","17","18",14.7333333333333,0.0166666666666675,17,"Thu",416
25944966,2019-12-26 17:53:47,2019-12-26 18:08:20,3740,872,35,"Streeter Dr & Grand Ave",76,"Lake Shore Dr & Monroe St","Customer","unknown","NA",14.55,"Thursday","Dec","17","18",14.5333333333333,0.0166666666666675,17,"Thu",416
25803103,2019-12-02 08:26:23,2019-12-02 08:29:12,1357,168,426,"Ellis Ave & 60th St",328,"Ellis Ave & 58th St","Customer","unknown","NA",2.81666666666667,"Monday","Dec","08","08",2.8,0.016666666666667,8,"Mon",561
25810234,2019-12-03 08:02:41,2019-12-03 08:06:15,5942,213,442,"California Ave & 23rd Pl",348,"California Ave & 21st St","Customer","unknown","NA",3.56666666666667,"Tuesday","Dec","08","08",3.55,0.016666666666667,8,"Tue",234
25827723,2019-12-05 08:26:31,2019-12-05 08:30:20,1897,228,183,"Damen Ave & Thomas St (Augusta Blvd)",210,"Ashland Ave & Division St","Customer","Male","1989",3.81666666666667,"Thursday","Dec","08","08",3.8,0.016666666666667,8,"Thu",417
25836481,2019-12-06 08:02:24,2019-12-06 08:04:51,3874,146,501,"Richmond St & Diversey Ave",260,"Kedzie Ave & Milwaukee Ave","Customer","unknown","NA",2.45,"Friday","Dec","08","08",2.43333333333333,0.016666666666667,8,"Fri",430
25806707,2019-12-02 17:17:41,2019-12-02 17:20:19,2682,157,295,"Broadway & Argyle St",325,"Clark St & Winnemac Ave","Customer","unknown","NA",2.63333333333333,"Monday","Dec","17","17",2.61666666666667,0.0166666666666666,17,"Mon",797
25810873,2019-12-03 08:36:07,2019-12-03 08:41:40,4408,332,305,"Western Ave & Division St",210,"Ashland Ave & Division St","Customer","Male","1995",5.55,"Tuesday","Dec","08","08",5.53333333333333,0.0166666666666666,8,"Tue",474
25810983,2019-12-03 08:42:23,2019-12-03 08:49:58,2043,454,176,"Clark St & Elm St",212,"Wells St & Hubbard St","Customer","Male","1997",7.58333333333333,"Tuesday","Dec","08","08",7.56666666666667,0.0166666666666666,8,"Tue",467
